time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.945139965864727e-07,-8.305212758664149e-08,10.00155443357855,6.283001702367713,0.00044735887053359846,0.0,-4.06417642988654e-05,-1.0684769587877596e-05,0.051812992335346544,-0.010016766175857488,0.019272955458850313,0.0,419.49595850948356,421.16581142209776,422.76645137276824,421.9027135250913
0.12000000000000001,-1.776398724945163e-05,-7.453784881352734e-06,10.009577257028702,6.282290989828894,0.001386740755884297,0.0,-0.0006531452789837323,-0.00030779548017619755,0.21559685526472616,-0.015778714237847387,0.007211122389662471,0.0,457.0799359004228,456.1177392327879,457.02821620589003,456.56894496496466
0.18,-9.071906793110736e-05,-5.0187431975464194e-05,10.027608429231584,6.281420103736327,0.002143398745086067,0.0,-0.0018473938742678457,-0.0012185906972890861,0.3853993865822254,-0.012099752448285546,0.02166868621539024,0.0,457.46293809305894,458.6124108370889,458.98085328399117,459.27280329878994
0.23999999999999996,-0.0002622564667276202,-0.00017163857175168267,10.058577860673111,6.280795846764132,0.003263790226621488,0.0,-0.004023642511895117,-0.0029143227793578044,0.6468030892120952,-0.007212380194894531,0.011884951539230304,0.0,485.60657913602756,484.8721521268823,485.8041244670992,486.17052752175925
0.3,-0.0005678856551303675,-0.0003923219461719328,10.098342658128134,6.280533423834633,0.004768230181595889,0.0,-0.006273388453677937,-0.004473204864315071,0.678671043449483,0.0007725414508770313,0.0432511267526754,0.0,413.6882067856914,416.44071512196484,414.91329231183585,415.6137038190596
0.36000000000000004,-0.0010533661016482816,-0.0007156860437350292,10.142203879073861,6.280588222505646,0.007145353598569493,0.0,-0.010165504199099864,-0.006300226107350166,0.7833018609694932,0.0011933980157927176,0.031132074709117406,0.0,439.48936206263926,438.4846776513159,438.71849624086474,438.75341325750327
0.4200000000000001,-0.0018156273820431937,-0.0011463215780438897,10.191888419016152,6.280574300030274,0.008872776726488674,0.0,-0.015423769855061279,-0.00805106168482131,0.8727835527433725,-0.003247515668658111,0.02364007852566984,0.0,434.83145922798315,434.20372437639645,434.06595422930974,433.69316891531935
0.48000000000000015,-0.002912080135204264,-0.0016788348087380714,10.245325317787199,6.280528637942361,0.009999524548987004,0.0,-0.0212443211962235,-0.009710044814419925,0.9084173281221005,0.003798558995768181,0.006653526669039789,0.0,417.0988490382516,415.61287485118055,416.8894827999696,417.50463712417326
0.5400000000000001,-0.004367935135291662,-0.002307699215576758,10.300156295588339,6.2801703931324475,0.009996861322928652,0.0,-0.027306551705522434,-0.011238710016498477,0.9192729375767578,-0.04708065522043087,-0.018869605014387697,0.0,409.6426089157932,407.36698330688006,410.76420689582204,406.2276008895415
0.6000000000000002,-0.00622452146181547,-0.0030602089272403466,10.359908750678388,6.277777552938138,0.009175707840567426,0.0,-0.03447290634211589,-0.014127890001824983,1.072344050896217,-0.028393995137043177,-0.0049365272645941136,0.0,453.36077620973134,454.4788555353929,453.94456339434566,455.4405570424457
0.6600000000000003,-0.00850586032241143,-0.004041472086029285,10.429943987316111,6.276140747145698,0.00878438202902565,0.0,-0.041530663155519884,-0.01877221705116355,1.2619728443072764,-0.025140813796970186,-0.009898537501922496,0.0,466.06951137524067,465.6816842413038,465.2735935513172,465.5280454942699
0.7200000000000003,-0.011247068002360689,-0.0053783119254037105,10.516738929117228,6.274572770333922,0.00823983737547529,0.0,-0.04975846359436835,-0.026003774684012135,1.6307403592590348,-0.028194665936860295,-0.00747890991796145,0.0,516.7718272805866,516.9424716976458,516.7091783254436,516.4938328137373
0.7800000000000004,-0.014483742161549547,-0.007213007951072456,10.627660203468825,6.2726863469420735,0.008047565714241145,0.0,-0.0580783320436276,-0.035416416299609975,2.0659529402311856,-0.03888249363102311,0.00420684259619074,0.0,534.5781896189675,535.3738682252732,535.8152595828207,535.0880498030835
0.8400000000000004,-0.0181865932935644,-0.009630599491522883,10.76091431825962,6.271387528109505,0.008098348254306664,0.0,-0.06536687387113359,-0.04538813017894412,2.3752586920154735,0.00013458509275611485,-0.006903927814487866,0.0,502.483671994736,501.677608264196,502.12800844692515,504.9502334271409
0.9000000000000005,-0.022277413760948873,-0.012601137514169419,10.906813991483435,6.272114344155142,0.0074981832914353674,0.0,-0.07094023503578192,-0.05358167056844391,2.4878263115738304,0.02908659022195659,-0.017059938258463022,0.0,446.2213381593165,445.39163388011514,445.6066006522898,447.96694463917703
0.9600000000000005,-0.02671812552638673,-0.01608631326252952,11.063623050568875,6.274277746033743,0.006089445657776693,0.0,-0.07693441058053124,-0.06233868117148758,2.738580283986486,0.04724622393509598,-0.04115183189396126,0.0,487.76095079107023,485.9583736125258,488.4585161913077,489.811283172321
1.0200000000000005,-0.03144483311661646,-0.01999129645107908,11.229906455041862,6.276807035955507,0.0035094900570715737,0.0,-0.08037758639889948,-0.0675638934173436,2.8040454160939943,0.02928782738672794,-0.046975615575068894,0.0,433.25720691354877,432.7662021409417,433.95712216540085,432.44803178318875
1.0800000000000005,-0.03632789501619364,-0.024166618678152806,11.4005631733008,6.278694948765509,0.0009168369603891335,0.0,-0.08212369149713825,-0.07143163539565808,2.884315160936836,0.03549784033090396,-0.036583450722510756,0.0,437.56699585824896,438.4301779200126,438.1060518966809,438.62244849226715
